Handle,SKU,Name,Category,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [The Hill of Tiny Men],Price [The Hill of Tiny Men],In stock [The Hill of Tiny Men],Low stock [The Hill of Tiny Men]
"""fullmetal""-kozmo-skin",CBARI30,"""Fullmetal"" Kozmo skin",Liang_CB_A!,N,,,,,,,878,,,,Y,Y,1350,0.000,
a/militarum-cadian-heavy-weapon-squad-1,47-19,A/militarum Cadian Heavy Weapon Squad,Greene - Games Workshop - Model,N,,,,,,,780,5011921113781,,,Y,Y,1200,1.000,0.000
abaddon-black-2,21-25,Abaddon Black,Gustav - Games Workshop Paint - Base,N,,,,,,,91,5011921026524,,,Y,Y,140,5.000,1.000
acrylic-gloss-varnish,28.530,Acrylic Gloss Varnish,Gustav - Acrylicos Vallejo - Auxiliaries,N,,,,,,,219,8429551285308,,,Y,Y,400,3.000,1.000
acrylic-matt-varnish,28.531,Acrylic Matt Varnish,Gustav - Acrylicos Vallejo - Auxiliaries,N,,,,,,,219,8429551285315,,,Y,Y,400,4.000,1.000
acrylic-satin-varnish,28.532,Acrylic Satin Varnish,Gustav - Acrylicos Vallejo - Auxiliaries,N,,,,,,,219,8429551285322,,,Y,Y,400,3.000,1.000
additional-wavy,WPA20,Additional Wavy,Gustav - RedgrassGames,N,,,,,,,294,3770010558200,,,Y,Y,420,4.000,0.000
adepta-sororitas-dice,99220108004,Adepta Sororitas Dice,Liang_GW,N,,,,,,,820,5011921129225,,,Y,Y,960,0.000,0.000
adeptus-mechanicus-ironstrider-1,59-012,Adeptus Mechanicus Ironstrider,Greene - Games Workshop - Model,N,,,,,,,1014,5011921091850,,,Y,Y,1560,0.000,0.000
adeptus-mechanicus-kastelan-robots-1,59-16,Adeptus Mechanicus Kastelan Robots,Greene - Games Workshop - Model,N,,,,,,,1404,5011921091874,,,Y,Y,2160,0.000,0.000
adeptus-mechanicus-skitarii-1,59-010,Adeptus Mechanicus Skitarii,Greene - Games Workshop - Model,N,,,,,,,780,5011921091843,,,Y,Y,1200,1.000,0.000
adeptus-titanicus:-the-horus-heresy,60010399003,Adeptus Titanicus: The Horus Heresy,Greene - Games Workshop - Model,N,,,,,,,3020,5011921131143,,,Y,Y,4320,0.000,0.000
administratum-grey,22-50,Administratum Grey,Gustav - Games Workshop Paint - Layer,N,,,,,,,91,5011921027798,,,Y,Y,140,5.000,1.000
aethermatic-blue-1,29-41,Aethermatic Blue,Gustav - Games Workshop Paint - Contrast,N,,,,,,,156,5011921120987,,,Y,Y,240,5.000,1.000
age-of-sigmar-hero-bases-1,64-002,Age Of Sigmar Hero Bases,Greene - Games Workshop - Basing Material,N,,,,,,,702,5011921079872,,,Y,Y,1080,1.000,0.000
age-of-sigmar:-soul-wars-(chinese),80-001-15,Age Of Sigmar: Soul Wars (chinese),Greene - Games Workshop - Model,N,,,,,,,2964,,,,Y,Y,4560,0.000,0.000
age-of-sigmar:-soul-wars-(english),80-001-60,Age Of Sigmar: Soul Wars (english),Greene - Games Workshop - Model,N,,,,,,,2964,,,,Y,Y,4560,0.000,0.000
age-of-sigmar:-storm-strike-(chinese),80-15-15,Age Of Sigmar: Storm Strike (chinese),Greene - Games Workshop - Model,N,,,,,,,780,5011921102846,,,Y,Y,1200,0.000,0.000
age-of-sigmar:-storm-strike-(eng),80-15-60,Age Of Sigmar: Storm Strike (eng),Greene - Games Workshop - Model,N,,,,,,,780,5011921102778,,,Y,Y,1200,1.000,0.000
age-of-sigmar:-tempest-of-souls-(chn),80-19-15,Age Of Sigmar: Tempest Of Souls (chinese),Greene - Games Workshop - Model,N,,,,,,,1560,5011921102914,,,Y,Y,2400,1.000,0.000
age-of-sigmar:-tempest-of-souls-(eng),80-19-60,Age Of Sigmar: Tempest Of Souls (eng),Greene - Games Workshop - Model,N,,,,,,,1560,5011921102853,,,Y,Y,2400,1.000,0.000
agent-46,10079,Agent 46,Gustav - MALIFAUX,N,,,,,,,462,,,,Y,Y,532,1.000,
aggaros-dunes-1,29-25,Aggaros Dunes,Gustav - Games Workshop Paint - Contrast,N,,,,,,,156,5011921120826,,,Y,Y,240,2.000,1.000
